mbti,danceability_mean,energy_mean,loudness_mean,speechiness_mean,acousticness_mean,liveness_mean,valence_mean,tempo_mean,instrumentalness_mean
INTP,0.5856999999999999,0.5464,-8.07526,0.061458,0.31411022,0.178204,0.424752,122.05726,0.0377845314
INTP,0.56314,0.64688,-7.82996,0.0850219999999999,0.208496358,0.15803,0.48855,117.69496,0.0930639376
INTP,0.53598,0.637996,-8.443900000000001,0.045036,0.2069403999999999,0.172044,0.3909,130.26218,0.410150344
INTP,0.6209399999999999,0.64802,-6.704860000000001,0.092752,0.20386442,0.211902,0.540372,121.26564,0.0389358916
INTP,0.54736,0.646766,-7.404120000000001,0.0641679999999999,0.21871828,0.20247,0.358688,122.5529,0.122770039
INTP,0.55744,0.6936400000000001,-6.63086,0.0854,0.14181992,0.235784,0.493736,131.14996000000002,0.0575183822
INTP,0.5888800000000001,0.59836,-8.45104,0.082498,0.27993098,0.179868,0.4836200000000001,119.81268,0.1131356936
INTP,0.5723199999999999,0.578744,-7.9702,0.068336,0.2957512,0.174502,0.461162,121.31029999999998,0.1018591132
INTP,0.58144,0.6472180000000001,-7.364259999999999,0.05577,0.19889637,0.1692479999999999,0.4131019999999999,120.51866,0.1826834116
INTP,0.67568,0.65902,-5.736700000000001,0.121242,0.23290244,0.200422,0.5532159999999999,119.94858000000002,0.0094645392
INTP,0.56544,0.6419000000000001,-6.7755800000000015,0.066552,0.25281802,0.170986,0.5208200000000001,128.74728000000002,0.070912805
INTP,0.54356,0.66804,-6.304120000000001,0.0464539999999999,0.1740808319999999,0.158212,0.47262,129.84026,0.1031550903999999
INTP,0.61186,0.66006,-6.913779999999999,0.091654,0.20935167,0.1664399999999999,0.4877860000000001,128.35384,0.0455459643999999
INTP,0.63672,0.600742,-7.518719999999999,0.102666,0.2751146,0.171336,0.505132,125.76956,0.0809378258
INTP,0.55462,0.494248,-9.7724,0.07362,0.4237808799999999,0.18316,0.496178,119.51143999999998,0.0982347107999999
INTP,0.54974,0.5270999999999999,-8.40528,0.058598,0.32731894,0.1804039999999999,0.412726,120.3802,0.0818275446
INTP,0.5111739130434783,0.6130217391304348,-9.726543478260869,0.0565173913043478,0.2091100323913043,0.1603369565217391,0.4050608695652173,128.42991304347825,0.1700434569565217
INTP,0.55352,0.579632,-8.59648,0.049122,0.2179019599999999,0.1971,0.382772,123.82376,0.1750860149999999
INTP,0.6114400000000001,0.639,-7.22278,0.0822079999999999,0.208518,0.170534,0.3827299999999999,128.47959999999998,0.0514314176
INTP,0.5531794871794872,0.5791205128205128,-8.379282051282054,0.0486641025641025,0.2863728717948717,0.1759923076923077,0.4542871794871795,129.18053846153845,0.1621925543589743
INTP,0.55836,0.59294,-7.42834,0.06222,0.276498096,0.1685159999999999,0.415734,118.15786,0.0975927409999999
INTP,0.6249199999999999,0.7254400000000001,-6.629440000000001,0.110836,0.1920647699999999,0.166316,0.52664,125.73034,0.2255449518
INTP,0.5677368421052631,0.4104736842105263,-9.52778947368421,0.0782526315789473,0.4739894736842104,0.1903105263157894,0.3607473684210526,114.14452631578948,0.0497935489473684
INTP,0.59308,0.6629800000000001,-6.6145000000000005,0.079112,0.1622494079999999,0.157528,0.4485099999999999,123.3962,0.0759366948
INTP,0.5577799999999999,0.61694,-7.81038,0.070724,0.225451006,0.165586,0.402238,121.43504,0.1747354955999999
INTP,0.5452600000000001,0.59162,-8.61502,0.064022,0.264237478,0.166824,0.4236839999999999,122.46895999999998,0.134867998
INTP,0.5514600000000001,0.6216200000000001,-8.41612,0.0642459999999999,0.2138220879999999,0.182464,0.45553,121.44606,0.1552796927999999
INTP,0.6183799999999999,0.58592,-7.25384,0.082138,0.2257511999999999,0.203558,0.374346,130.11102,0.0317780764
INTP,0.64622,0.6658399999999999,-6.3833400000000005,0.106846,0.1673433,0.192318,0.48668,121.80674,0.0523917664
INTP,0.61842,0.54552,-7.76346,0.100168,0.2419128199999999,0.13772,0.3386799999999999,125.32738,0.0178103602
INTP,0.6560232558139536,0.2688613953488372,-14.54118604651163,0.0796627906976744,0.7415976744186047,0.1551162790697674,0.2806790697674419,105.23423255813954,0.8146046511627908
INTP,0.5745199999999999,0.602446,-8.900420000000002,0.0821219999999999,0.27989806,0.194062,0.4294219999999999,123.1701,0.2564254772
INTP,0.5169,0.69428,-7.21862,0.0496519999999999,0.1837559508,0.18416,0.3994999999999999,129.35096,0.1473211999999999
INTP,0.6093600000000001,0.4224739999999999,-9.88388,0.046732,0.5557936,0.145024,0.3767839999999999,111.458,0.0640037874
INTP,0.5471,0.60952,-8.52914,0.068198,0.298839648,0.192606,0.4527679999999999,121.16320000000002,0.2145707439999999
INTP,0.5537058823529412,0.5599617647058823,-8.263823529411766,0.086385294117647,0.3107176764705882,0.175685294117647,0.4124382352941176,129.52876470588237,0.0399590273529411
INTP,0.56718,0.5722800000000001,-8.138480000000001,0.062838,0.321538,0.171618,0.45655,121.21794,0.0490301322
INTP,0.5241,0.71156,-6.56562,0.090568,0.172712178,0.204384,0.464792,123.32824,0.0104951601999999
INTP,0.59416,0.7364400000000001,-6.588819999999999,0.065868,0.241009678,0.177086,0.601638,125.16338000000002,0.2817008706
INTP,0.5890000000000001,0.59258,-8.52248,0.0795959999999999,0.410732288,0.216202,0.530316,115.72464,0.1188090483999999
INTP,0.6858,0.8016199999999999,-4.03946,0.108422,0.11426772,0.177744,0.6056199999999999,125.05649999999996,0.0130270298
INTP,0.6301599999999999,0.5844400000000001,-7.43498,0.069496,0.3507206,0.1418759999999999,0.560074,120.72955999999998,0.0387920936
INTP,0.5643,0.53142,-7.8767,0.08001,0.390126,0.168994,0.384198,128.84694,0.0419258136
INTP,0.5692058823529411,0.6627941176470589,-7.374882352941176,0.0652294117647059,0.247724294117647,0.1801323529411764,0.4963823529411764,113.83567647058824,0.1930810694117647
INTP,0.61572,0.7297999999999999,-6.486280000000001,0.1060019999999999,0.1929102599999999,0.164634,0.50722,129.04282,0.2520197246
INTP,0.55542,0.5858760000000001,-7.912859999999999,0.0565339999999999,0.2489687199999999,0.174498,0.406514,129.08308,0.1223508292
INTP,0.5351,0.6681599999999999,-7.2735,0.075468,0.1451279419999999,0.210842,0.376882,119.96216,0.1804163964
INTP,0.5756875,0.5839791666666666,-7.521541666666667,0.0533583333333333,0.2806410416666666,0.1518229166666666,0.4190916666666666,118.38804166666668,0.0979003864583333
INTP,0.62532,0.5867800000000001,-7.46192,0.1030119999999999,0.2725939,0.183316,0.4539159999999999,121.78875999999998,0.0267506034
INTP,0.43296,0.42228,-11.98872,0.086796,0.587724,0.1714959999999999,0.323184,121.41924,0.4225376199999999
INTP,0.5378444444444445,0.5814,-8.17191111111111,0.0799422222222222,0.2648413644444444,0.1797466666666666,0.3535266666666667,117.58617777777778,0.1517446868888889
INTP,0.5395581395348837,0.6642790697674418,-6.728093023255815,0.0396697674418604,0.2163065930232558,0.2004999999999999,0.4482674418604651,123.9225581395349,0.1018724755813953
INTP,0.5236666666666667,0.6121111111111109,-9.107333333333331,0.1153055555555555,0.3219343555555555,0.2118666666666667,0.4171111111111111,117.77233333333334,0.2055191244444444
INTP,0.6520212765957447,0.8533829787234043,-5.780851063829788,0.1363617021276595,0.0359346170212766,0.219863829787234,0.6776595744680851,134.28770212765957,0.0242091404255319
INTP,0.6520212765957447,0.8533829787234043,-5.780851063829788,0.1363617021276595,0.0359346170212766,0.219863829787234,0.6776595744680851,134.28770212765957,0.0242091404255319
INTP,0.51308,0.63764,-8.261000000000001,0.046084,0.253546172,0.17765,0.4137639999999999,124.01572000000002,0.2396917324
INTP,0.5676511627906977,0.7053023255813953,-5.784790697674419,0.1002744186046511,0.1188861860465116,0.2003511627906976,0.5043953488372094,124.36613953488371,0.028043565116279
INTP,0.5465769230769231,0.6196153846153846,-7.724576923076922,0.0700115384615384,0.1417766692307692,0.1599307692307692,0.4037692307692308,109.7811153846154,0.1653790476923076
INTP,0.50344,0.7812399999999999,-5.5638,0.09748,0.10610725,0.192672,0.364728,135.86714,0.0649964042
INTP,0.57454,0.6608799999999999,-8.096060000000001,0.061464,0.233927388,0.181612,0.452574,123.43274,0.1748065958
INTP,0.6103,0.63022,-6.65016,0.066512,0.30123184,0.166456,0.509656,119.71412,0.0004724851999999
INTP,0.5812999999999999,0.638296,-8.08248,0.07002,0.264498432,0.205234,0.4953079999999999,121.56898,0.211045129
INTP,0.58652,0.7269399999999999,-6.607819999999999,0.10982,0.20360332,0.2077639999999999,0.405328,112.01986,0.3021189924
INTP,0.55748,0.6008680000000001,-8.633659999999999,0.064678,0.2649886,0.18589,0.402966,128.00140000000002,0.1882091907999999
INTP,0.5686800000000001,0.65714,-6.480000000000001,0.05412,0.159486788,0.200508,0.432484,120.5295,0.1231601215999999
INTP,0.516108695652174,0.6894999999999999,-7.259239130434783,0.0586565217391304,0.1723630028260869,0.171495652173913,0.4144630434782609,128.6439347826087,0.2341261313043478
INTP,0.545047619047619,0.7116666666666667,-7.5730476190476175,0.0618,0.0878104,0.1737714285714285,0.4635238095238095,127.56780952380954,0.1298292447619048
INTP,0.450862,0.60457,-8.81096,0.06359,0.293676486,0.196096,0.3781279999999999,129.26712,0.2935927998
INTP,0.5386799999999999,0.64896,-9.8742,0.0451079999999999,0.1509057,0.195,0.6097940000000001,126.30689999999998,0.150026023
INTP,0.5864199999999999,0.69134,-6.09976,0.0804199999999999,0.109431874,0.171154,0.461962,119.80223999999998,0.0944886406
INTP,0.53788,0.6089600000000001,-7.23606,0.065336,0.208294404,0.1921,0.398124,120.00622,0.0337809468
INTP,0.5513600000000001,0.702416,-8.13582,0.0558139999999999,0.162200992,0.175474,0.4364,126.80548,0.294250992
INTP,0.60914,0.7438199999999999,-5.559339999999999,0.069008,0.18970244,0.2084079999999999,0.6080200000000001,118.37504,0.0194916152
INTP,0.5268461538461539,0.6438846153846154,-7.8161538461538465,0.0388653846153846,0.1513614230769231,0.1967076923076923,0.3365961538461538,120.36103846153848,0.2041066442307692
INTP,0.59334,0.6945600000000001,-7.41028,0.065728,0.181095808,0.169254,0.490832,120.76928000000002,0.2340905764
INTP,0.61632,0.6703399999999999,-6.16378,0.0684299999999999,0.2335308,0.155528,0.449916,116.33532,0.0693166646
INTP,0.5781,0.404482,-8.1742,0.049412,0.5862259999999999,0.142674,0.3688919999999999,110.5191,0.0037452816
INTP,0.63606,0.67048,-7.24032,0.098234,0.131965106,0.206656,0.490476,121.05788,0.1641685288
