genres,acousticness_mean,danceability_mean,energy_mean,instrumentalness_mean,liveness_mean,loudness_mean,speechiness_mean,tempo_mean,valence_mean
21st century classical,0.9793333333333332,0.1628833333333333,0.0713166666666666,0.60683367,0.3616,-31.514333333333337,0.0405666666666666,75.3365,0.1037833333333333
432hz,0.49478,0.2993333333333333,0.4506783333333333,0.4777616666666668,0.131,-16.854,0.0768166666666666,120.28566666666666,0.22175
8-bit,0.762,0.7120000000000001,0.818,0.8759999999999999,0.126,-9.18,0.047,133.444,0.975
[],0.6514170195595453,0.5290925603549332,0.4191460727353524,0.2053091895111363,0.2186958541504073,-12.288964675489456,0.1078715586868139,112.8573524318416,0.5136042963588958
a cappella,0.676557304985755,0.5389612464387464,0.3164335701566952,0.0030034414404202,0.1722541371082621,-12.479387421652426,0.0828514398148148,112.1103620014245,0.4482486545584045
abstract,0.45921,0.5161666666666667,0.4424166666666666,0.8496666666666667,0.1180666666666667,-15.472083333333332,0.0465166666666666,127.88575000000002,0.307325
abstract beats,0.3421466666666667,0.623,0.5277999999999999,0.3336026120000001,0.0996533333333333,-7.918000000000001,0.1163733333333333,112.4138,0.4935066666666666
abstract hip hop,0.2438540633608816,0.6945709366391184,0.6462346418732783,0.0242312629201102,0.1685429201101929,-7.349327823691461,0.2142576997245178,108.2449865013774,0.5713909090909091
accordeon,0.3229999999999999,0.588,0.392,0.441,0.0794,-14.899,0.0727,109.131,0.7090000000000001
accordion,0.446125,0.6248125,0.3734375,0.19373839375,0.1603,-14.4870625,0.0785375,112.8724375,0.6586875000000001
acid house,0.0679505384615384,0.6774,0.7244030769230769,0.3858910307692308,0.2334884615384616,-9.381199999999998,0.0558553846153846,126.49209230769232,0.5676769230769231
acid rock,0.2569145079725167,0.4472389930828895,0.5806492948018793,0.1509256773784014,0.2304514628310576,-11.43307330938882,0.0675998527823348,125.65952227133604,0.5344474777454798
acid trance,0.00683,0.6629999999999999,0.925,0.703,0.185,-6.775,0.0449,132.687,0.843
acousmatic,0.9170191062801932,0.4204582850241546,0.2385243417874396,0.6162484134359903,0.2610061823671498,-20.96456474637681,0.0806177391304347,104.07463265700486,0.3244473852657005
acoustic blues,0.761723539455837,0.6069147720232645,0.3606592945953496,0.0989181361361423,0.1830982135528711,-12.55490505937252,0.0688153642290222,113.28452122830322,0.633785722320662
acoustic pop,0.4902350260381985,0.5351083171521532,0.4764399220103099,0.0333382801090247,0.1577504987283953,-9.297247893173369,0.0417706648143185,117.88741975150836,0.3794153530026807
acoustic punk,0.4049000220385675,0.5391115702479339,0.6158241505968779,0.0619399513039485,0.2094806244260789,-8.010774104683195,0.0635705234159779,122.30848852157943,0.7305188246097337
acoustic rock,0.6132007936507936,0.5243968253968254,0.4160026455026456,0.3214749217460317,0.1405183862433862,-10.54062037037037,0.0346810846560846,122.6556626984127,0.3802986772486773
action rock,0.229,0.412,0.938,0.000259,0.106,-0.253,0.182,97.489,0.32
adult standards,0.6556483763400994,0.4963276348996665,0.3820535821129445,0.1181935743093194,0.1967767436932642,-12.221776284593986,0.0531578180376793,113.38117658884272,0.4993761805789757
adventista,0.7841433333333333,0.5315,0.3193833333333333,7.450333333333336e-06,0.14129,-9.338766666666668,0.0289866666666666,113.38845,0.5145166666666666
afghan pop,0.4106285714285714,0.6517142857142858,0.6515714285714286,0.0009111632142857,0.0874607142857143,-9.152178571428571,0.0844142857142857,113.59471428571428,0.7841071428571428
afghan traditional,0.958,0.4403333333333333,0.3236666666666666,0.4007066666666666,0.1776666666666666,-14.49766666666667,0.1460333333333333,94.06966666666666,0.7106666666666666
african percussion,0.327,0.6003636363636364,0.7897272727272727,0.2573806909090909,0.1278727272727272,-6.729636363636363,0.0797090909090909,130.1315454545454,0.4457272727272727
african reggae,0.2458,0.753,0.662125,0.0035346243749999,0.111225,-7.446874999999999,0.05889375,116.5645,0.7709999999999999
african rock,0.1398565041666666,0.6688958333333335,0.6110625000000001,0.09379615,0.14969375,-9.36175,0.0726541666666666,115.7093125,0.6064583333333333
african-american classical,0.9255341402855372,0.283975667287399,0.1421949224084419,0.4320272616821849,0.1433540657976412,-24.61947206703911,0.0588104748603351,132.72893202979515,0.2644644165114836
afro dancehall,0.1439002482196969,0.6434583333333334,0.7646818181818181,0.0072262542929292,0.1687770202020202,-5.698983585858586,0.1601521464646464,131.96408964646463,0.6193598484848485
afro house,0.3216666666666666,0.636,0.5706666666666668,0.1335673333333333,0.1258333333333333,-10.103833333333332,0.1270333333333333,139.69799999999998,0.6205
afro psych,0.2280666666666667,0.6243333333333334,0.722,0.1449692433333333,0.2333333333333333,-10.926333333333332,0.0545333333333333,111.682,0.8303333333333334
afro-funk,0.1375592592592593,0.8031481481481482,0.7242962962962963,0.0798404222222222,0.0937037037037037,-8.909833333333333,0.0959462962962963,114.17362962962964,0.8796296296296297
afrobeat,0.3608718067607344,0.6329610303477765,0.6190763879414471,0.3140237645946228,0.1520585542783834,-9.931080518421174,0.0603776928584909,117.10862177680056,0.710820172464364
afrofuturism,0.2481634593146479,0.6335189768676742,0.581705356229114,0.1279611452847072,0.1975452786949099,-9.079584287901104,0.141947563687649,110.50069322962165,0.4588383044797964
afrofuturismo brasileiro,0.626,0.484,0.81,0.000283,0.11,-4.579,0.0377,144.454,0.422
afropop,0.436659746365678,0.6258032134839117,0.5345246397821523,0.1513956875250823,0.1598840348384809,-11.091498759690776,0.077084721017059,116.54245898097491,0.6484711262788878
afroswing,0.31845,0.71175,0.5801875,0.000257895,0.18995,-7.0166875,0.1955625,83.250125,0.676625
aggrotech,0.01186776,0.6013333333333334,0.7123333333333334,0.2519999999999999,0.2596666666666666,-6.408000000000001,0.0342333333333333,116.72133333333332,0.4433333333333333
alabama indie,0.3232776022727273,0.557375,0.6261477272727273,0.0574323738636363,0.1192795454545454,-8.763204545454546,0.0487181818181818,120.2792840909091,0.5246704545454546
alabama metal,0.002748,0.4065,0.8659999999999999,1.105e-06,0.1406,-3.666,0.0741,110.375,0.446
alabama rap,0.1407727340641437,0.6861151282409347,0.6118896802122609,0.0004707370890006,0.1623089703486477,-6.678095261369454,0.1694465195736163,114.11048540706604,0.4694354280128474
alaska indie,0.1338666666666666,0.7396666666666668,0.4646666666666666,7.75e-05,0.0832,-9.337,0.0472333333333333,134.41466666666668,0.7393333333333333
albany ny indie,0.0005639999999999,0.852,0.251,0.7559999999999999,0.0957,-13.225,0.0683,141.759,0.186
alberta country,0.2077672619047618,0.5939916666666667,0.7349738095238095,1.958528571428572e-05,0.2258033333333333,-6.57517619047619,0.0557580952380952,113.51413095238097,0.5968142857142856
album rock,0.1861824547987221,0.512030610234557,0.6604173890677083,0.0737218923351972,0.21488953424232,-9.885866901716897,0.056725599017659,124.21652716618,0.5518872818188616
albuquerque indie,0.3502145925925926,0.5621018518518519,0.5874537037037038,0.0164056148148148,0.1803731481481481,-8.425898148148146,0.0334611111111111,126.22573148148147,0.5921296296296297
alt-idol,0.000304725,0.46625,0.9662500000000002,0.22580875,0.3509,-2.6232500000000005,0.16655,131.12875,0.38475
alternative americana,0.3482192708333333,0.493904513888889,0.4982638888888888,0.1712250775694444,0.1912529513888888,-9.79526736111111,0.0469487847222222,125.1544184027778,0.4446961805555555
alternative country,0.4071150580061164,0.5425796669270009,0.5181552411956074,0.0393726645833564,0.1747228346275166,-10.290235627460508,0.0451604442303254,120.26777292129756,0.5137621412515364
alternative dance,0.1518057072040015,0.6040664401877522,0.7370190259126485,0.2112709603567983,0.1914646453326588,-6.637478840309943,0.0549305113528005,126.09572290508493,0.5260616902218979
alternative emo,0.1281222615468703,0.4948079814315665,0.7158729260257561,0.0439424859029649,0.1892919646600779,-7.037806588799043,0.0721165738244983,130.59866433063792,0.4431474543276429
alternative hip hop,0.1882624872239785,0.7009170241158568,0.6928150714421379,0.0373739561853813,0.2346039974925755,-7.516890543495352,0.2506472150144867,106.86016172123112,0.612556826541036
alternative metal,0.058247125931528,0.4588281151396744,0.8308012093781899,0.1010593598200337,0.2100297731250429,-5.887320968125027,0.0826876575048229,126.2008731227211,0.4153036925825164
alternative pop,0.1100678324866582,0.4550662576444718,0.7592710154263725,0.2146155300291306,0.1725948149737168,-8.791657368369068,0.0509041313131313,128.57391879006906,0.5475577360080395
alternative pop rock,0.1704674458874458,0.6192294372294374,0.7202441558441559,1.2122337662337662e-05,0.1875830303030302,-4.751005194805195,0.0687059307359307,116.99954891774888,0.6437601731601732
alternative r&b,0.3071436408855493,0.6622768826542451,0.5442857186530903,0.0219713253480924,0.1720057522211178,-8.077162285469463,0.1314752588869069,114.09290373594338,0.4490272115741773
alternative rock,0.1570587193792125,0.4783424276886565,0.7117322313989154,0.165487829112564,0.1903904814380269,-8.305646269880699,0.0622740005330204,125.4851876376684,0.5058402960386075
alternative roots rock,0.2691217368421052,0.4933421052631579,0.618157894736842,0.1072080881578947,0.1696342105263157,-7.2721710526315775,0.0584947368421052,113.2267894736842,0.4261842105263158
ambeat,0.4431139926739927,0.748507326007326,0.6540732600732599,0.1680697875457875,0.1392917582417582,-7.358032967032968,0.1387919413919414,98.54111355311356,0.6927600732600732
ambient,0.6732743467076509,0.3350752947488824,0.2762974584117708,0.7529056017847178,0.1255357696644399,-19.52910198007929,0.0432678166697356,107.28752653132194,0.1914820761450744
ambient black metal,0.001325495,0.2638333333333333,0.7681666666666668,0.7681833333333331,0.3260333333333333,-9.345000000000002,0.0573666666666666,111.02750000000005,0.2410166666666666
ambient folk,0.6440242450142449,0.5285972934472934,0.3786123076923077,0.1543727159330484,0.1588068945868946,-12.00958618233618,0.0586554558404558,114.24553490028492,0.3076021367521367
ambient house,0.06545,0.6359999999999999,0.8122499999999999,0.1646,0.29,-12.18375,0.045725,115.005,0.4335
ambient idm,0.4775,0.3505,0.5794999999999999,0.46250715,0.1205,-10.509999999999998,0.0575,150.4915,0.2385
ambient industrial,0.0431,0.746,0.723,0.82,0.0849,-15.59,0.0457,126.575,0.92
ambient pop,0.7447083333333333,0.2764166666666666,0.21773,0.7208758000000001,0.1265233333333333,-17.869,0.036085,95.92368333333334,0.1686683333333333
ambient techno,0.12025,0.726,0.5588333333333333,0.3489,0.0939,-13.136666666666668,0.0317,122.89266666666668,0.8104166666666667
ambient worship,0.5109172222222222,0.3374277777777777,0.4615041666666667,0.2321298890416667,0.11332625,-9.622626388888891,0.0374893055555555,104.61098055555556,0.2157533333333333
american 21st century classical,0.987,0.15565,0.02395,0.8915000000000001,0.0968,-29.108,0.0451,69.16649999999998,0.04755
american choir,0.895728896103896,0.229740742481203,0.209583198051948,0.1553976012559808,0.336345078605605,-19.877883885850988,0.0968618421052631,103.75853251025288,0.1959252093301435
american classical piano,0.9766781523472092,0.3553547222172736,0.0965707140494388,0.8111316967654985,0.1363879780403584,-25.65141646685484,0.0466985206274767,104.73920251395992,0.2466597114470225
american contemporary classical,0.9383158147749042,0.3181496647509579,0.1110884352550287,0.481779547225934,0.1429941977969348,-25.93967103987069,0.0516221138649425,99.85311179058913,0.2673089520474137
american early music,0.995,0.1715,0.06905,0.0415615,0.121,-26.524500000000003,0.05225,168.6375,0.0923
american folk revival,0.8494754221484916,0.5351211372263025,0.2310090143503364,0.0372094803755711,0.1648142832740198,-15.390472594469964,0.0760713774224328,112.64414577679938,0.5249713529734975
american metalcore,0.00257805,0.4074999999999999,0.928,0.000266125,0.185425,-4.625000000000001,0.2014,151.46099999999996,0.2129
american modern classical,0.8906899671532347,0.3973823574849173,0.2668459794892684,0.419244293047126,0.2324952150490897,-17.601216754556244,0.131171136064159,117.09688837919882,0.4015047579500618
american oi,0.5382361999999999,0.4955200000000001,0.51652,0.3233761200000001,0.349756,-12.559320000000003,0.0459,142.33868,0.7918399999999999
american orchestra,0.8773235141712309,0.2672358330558825,0.1759945011458157,0.5513107056471637,0.2390380854923198,-21.826575462080267,0.0546432133842804,101.77994512400936,0.2127989448922158
american post-rock,0.3120729583333333,0.4566979166666666,0.4505552083333334,0.6765515833333333,0.1602791666666666,-13.17078125,0.0430677083333333,111.22938541666664,0.2371072916666667
american primitive,0.6602178279569892,0.3490272401433692,0.3724985663082437,0.8419738351254479,0.1293662007168458,-14.712518279569894,0.0417268817204301,120.15716272401431,0.3767143369175625
american romanticism,0.9545708041958042,0.3173994755244756,0.1434371503496503,0.4849568627972029,0.1439192307692307,-19.62419405594405,0.0428595279720279,115.72976311188808,0.2346690559440559
american shoegaze,0.19400142,0.3704,0.7158,0.6325999999999999,0.1591333333333333,-9.320466666666666,0.0363066666666666,110.41086666666668,0.4142
anadolu rock,0.5589,0.5321,0.472,0.174072,0.1769,-13.1144,0.07428,98.6146,0.6317999999999999
anarcho-punk,0.0561828678205128,0.2862726495726495,0.8606162393162394,0.0093583044273504,0.2868564102564103,-9.56566153846154,0.1265423076923077,177.9410769230769,0.5194268376068377
anglican liturgy,0.933919191919192,0.2392565656565657,0.1345641414141414,0.3680460555555555,0.138190404040404,-21.54920202020202,0.0601651515151515,86.86002525252525,0.2706393939393939
anime,0.1265907762197262,0.4836419202644202,0.8271425737100737,0.0915275815684889,0.180590817977068,-4.833713902538904,0.0766524428161927,133.086681964432,0.4573374254124256
anime latino,0.280674382,0.49878,0.8619,4.4832e-06,0.265878,-3.2522,0.051698,142.34088,0.5861959999999999
anime rock,0.0861238968253968,0.5016576719576721,0.8613870370370369,0.0219136133333333,0.2287392592592593,-3.733998148148148,0.0800457936507936,134.97291772486773,0.5243174603174603
anime score,0.3001385636021496,0.4735439909670027,0.647054981249025,0.3008432606336703,0.1668462409711565,-8.463057128094626,0.0736475151891989,123.06658317640937,0.3749125433471897
ann arbor indie,0.2777699999999999,0.5473723076923077,0.4504707692307692,0.1248526798461538,0.130480923076923,-8.802236923076924,0.0603372307692307,89.71947076923075,0.3518830769230769
anthem emo,0.137116346313364,0.5088797235023041,0.7309107526881721,0.0150137989247311,0.2160917665130568,-6.018700307219661,0.0780191705069124,130.43316113671276,0.4286671274961597
anthem worship,0.2143777071479059,0.4736439744173603,0.6044717815758264,0.0188752537301414,0.2228770242280714,-7.504177604929938,0.0477256137254632,122.93612993328104,0.3279395366817833
anti-folk,0.4478504474790855,0.5122209371908248,0.5295718562146995,0.1478188595302932,0.1797501785717589,-9.709752455580809,0.0572956949872782,121.43844573824228,0.5013088334543563
antilliaanse folklore,0.95,0.583,0.5660000000000001,0.847,0.109,-15.002,0.0476,124.095,0.932
antiviral pop,0.1776613627988678,0.6606965950715951,0.7229747335997339,0.0191548969638694,0.2184725899100899,-6.718926989676992,0.1077311105561105,123.82994014319016,0.6122801781551782
appalachian folk,0.7895768912437672,0.5505155188554031,0.3328343937305261,0.1019588765571133,0.1972383479614158,-13.286964224022546,0.0684825910607964,121.15910383360968,0.6413043110775416
arab folk,0.8366269163292849,0.3939167192456667,0.2808800651979599,0.3530875701304617,0.252596821380374,-16.097358330266225,0.0661276839388681,103.56169157158628,0.4362034342850132
arab groove,0.4122283333333333,0.5436666666666666,0.4224166666666667,0.4692515625,0.1904166666666666,-12.97525,0.0346416666666666,111.64358333333334,0.5035
arab pop,0.4787710884353741,0.5789103741496601,0.5411381802721089,0.0550049149030612,0.1702254251700679,-9.560584948979592,0.0538875765306122,119.62892823129248,0.6027473639455783
arabesk,0.5631999999999999,0.415,0.5714,9.9226e-05,0.10428,-8.7186,0.04948,142.2314,0.4826
arabic jazz,0.9076666666666668,0.4878333333333333,0.1718333333333333,0.3396255,0.1263333333333333,-19.114,0.0457833333333333,118.93916666666668,0.386
argentine ambient,0.8341666666666666,0.4756666666666666,0.3537299999999999,0.5200015833333332,0.1363333333333333,-14.393166666666666,0.03855,144.23033333333333,0.2995
argentine hardcore,0.01081,0.6900000000000001,0.6535,0.01150665,0.3726,-9.742,0.05555,109.5345,0.655
argentine heavy metal,0.0501025,0.58375,0.759375,0.08593275,0.1492,-7.255749999999999,0.1272625,145.01850000000005,0.507375
argentine hip hop,0.3449875,0.737125,0.6904791666666666,7.758333333333331e-07,0.1094875,-4.9554375,0.1553416666666666,139.72464583333334,0.5983541666666667
argentine indie,0.2921151428571428,0.5578571428571428,0.5646314285714286,0.1636000085714286,0.1683514285714285,-12.613314285714289,0.0491414285714285,101.24104285714289,0.5946142857142858
argentine metal,0.0185,0.62,0.816,0.0074099999999999,0.0984,-6.2079999999999975,0.222,179.99200000000005,0.6679999999999999
argentine punk,0.0364683333333333,0.5710000000000001,0.7864999999999999,0.0049088833333333,0.4062,-7.974833333333333,0.0578,108.19316666666668,0.5781666666666666
argentine reggae,0.0830244444444444,0.7523425925925925,0.5389537037037037,0.000319994074074,0.1097657407407407,-7.863740740740742,0.072187037037037,128.0917777777778,0.7569074074074075
argentine rock,0.2338865029542982,0.5855264629397458,0.6270374086373794,0.0542357839285903,0.2043738449275893,-9.387355544835394,0.0483543277109977,116.4855398368688,0.5866263886163988
arizona punk,0.03678,0.4903333333333333,0.9396666666666668,4e-07,0.1931,-3.7956666666666674,0.0950333333333333,116.578,0.4443333333333333
